SP_CODE,DATE,YEAR,DOY,PLOT,SITE,ASPECT,PHENO,MAIN_PHENO,INFL,FLS,FRT,NAME,LIFESPAN,TYPE,NATIVE,PollinatorResource,BEE,BUTTERFLY,FLY,MOTHS,BEETLES
ACMBRA,5/18/16,2016,139,TTS3,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/17/17,2017,168,TTS21,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/19/16,2016,110,TTS2,TT,S,FL,FL,23,32,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/20/17,2017,110,TTS22,TT,S,"FL,FR",FL,30,49,7,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/28/17,2017,118,DPS1,DP,S,"FL,FR",FL,7,17,6,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/28/17,2017,118,TTS22,TT,S,"B,FL,FR",FL,25,72,9,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/26/16,2016,117,TTS2,TT,S,"FL, FR",FR,24,18,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/17/17,2017,168,TTS3,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/28/17,2017,118,TTS1,TT,S,"FL,FR",FL,14,28,3,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/16/18,2018,106,DPS1,DP,S,FL,FL,2,5,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,3/24/17,2017,83,TTS3,TT,S,B,B,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/3/17,2017,123,TTS3,TT,S,FL,FL,3,12,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/2/17,2017,92,TTS23,TT,S,"B,FL",FL,11,11,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/12/17,2017,163,TTN11,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/30/17,2017,150,TTS21,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/18/16,2016,139,TTS1,TT,S,FR,FR,27,2,85,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/12/17,2017,163,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/12/17,2017,163,TTS22,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/22/17,2017,142,TTS23,TT,S,FR,FR,3,0,13,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/12/17,2017,163,TTS3,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/30/16,2016,182,DPS1,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/13/17,2017,133,TTS2,TT,S,"FL,FR",FR,12,11,48,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/2/17,2017,92,DPS1,DP,S,"B,FL",FL,1,2,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/7/16,2016,159,DPS2,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/11/16,2016,132,TTS3,TT,S,FR,FR,2,0,6,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/10/17,2017,100,TTS22,TT,S,"B,FL",FL,17,34,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/22/17,2017,142,DPS1,DP,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/30/16,2016,182,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/17/17,2017,168,TTN13,TT,N,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/12/17,2017,163,TTS1,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/12/16,2016,103,DPS3,DP,S,FL,FL,3,5,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/28/17,2017,118,TTS3,TT,S,"FL,FR",FL,16,44,5,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/3/17,2017,123,TTS21,TT,S,"FL,FR",FR,33,47,6,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/2/17,2017,92,TTS22,TT,S,"B,FL",FL,12,13,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/12/17,2017,163,TTS21,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/7/18,2018,97,DPS2,DP,S,"B,FL",FL,4,5,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/3/17,2017,123,TTS22,TT,S,"FL,FR",FR,22,34,94,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,4/25/15,2015,115,DPS3,DP,S,FL,FL,1,1,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/14/16,2016,166,TTS2,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/13/17,2017,133,TTS21,TT,S,FR,FR,17,0,72,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,6/27/17,2017,178,TTS3,TT,S,FR,FR,0,0,0,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/1/18,2018,121,DPS3,DP,S,"FL,FR",FL,4,8,5,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
ACMBRA,5/3/17,2017,123,DPS1,DP,S,"FL,FR",FR,6,8,18,Acmispon brachycarpus,A,F,Y,Y,Y,N,N,N,N
