SP_CODE,FAMILY,NAME,LIFESPAN,TYPE,NATIVE,PollinatorResource,BEE,BUTTERFLY,FLY,MOTHS,BEETLES,Notes
SILGAL,Caryophyllaceae,Silene gallica,A,F,N,Y,Y,Y,N,Y,N,"bees, lepidoptera - ""plats for a future"" http://pfaf.org/user/Plant.aspx?LatinName=Silene+gallica"
SISBEL,Iridaceae,Sisyrinchium bellum,P,F,Y,Y,Y,N,N,N,N,"solitary bee observed, bees http://www.pollinator.org/PDFs/Calif.DrySteppe.rx2.pdf"
STIPUL,Poaceae,Stipa pulchra,P,G,Y,N,N,N,N,N,N,
TORARV,Apiaceae,Torilis arvensis,A,F,N,N,N,N,N,N,N,"BEE VISITATION, but not much... Gupta, Hamal, Koul 1985 (https://link.springer.com/content/pdf/10.1007/BF03053258.pdf);  ""NATIVE POLLINATORS DO VISIT"" https://texasinvasives.org/plant_database/detail.php?symbol=TOAR"
TRIALB,Fabaceae,Trifolium albopurpureum,A,F,Y,Y,Y,N,N,N,N,ANP XERCES
TRIANG,Fabaceae,Trifolium angustifolium,A,F,N,Y,Y,N,N,N,N,ANP XERCES
TRIBIF,Fabaceae,Trifolium bifidum,A,F,Y,Y,Y,N,N,N,N,ANP XERCES
TRIDUB,Fabaceae,Trifolium dubium,A,F,N,Y,Y,N,N,N,N,ANP XERCES
TRIHIR,Fabaceae,Trifolium hirtum,A,F,N,Y,Y,N,N,N,N,"Bees- observed, ANP XERCES"
TRIMICCEP,Fabaceae,Trifolium microcephalum,A,F,Y,Y,Y,N,N,N,N,ANP XERCES
TRIMICDON,Fabaceae,Trifolium microdon,A,F,Y,Y,Y,N,N,N,N,ANP XERCES
TRIOLI,Fabaceae,Trifolium oliganthum,A,F,Y,Y,Y,N,N,N,N,ANP XERCES
TRISUB,Fabaceae,Trifolium subterraneum,A,F,N,Y,Y,N,N,N,N,ANP XERCES
TRIVAR,Fabaceae,Trifolium variegatum,A,F,Y,Y,Y,N,N,N,N,ANP XERCES
TRIWIL,Fabaceae,Trifolium willdenovii,A,F,N,Y,Y,N,Y,N,N,"fly- observed, ANP XERCES"
VICSAT,Fabaceae,Vicia sativa,A,F,N,Y,Y,N,N,N,N,ANP XERCES
ZELMUE,Gentianaceae,Zeltnera muehlenbergii,A,F,Y,N,N,N,N,N,N,UNK
